id	word__id	word__text	text	tone	cik_final	cik_initial	ling_final	ling_initial	cik_order	ling_order	cik_annotation	ling_annotation	li_annotate_cik_order	li_annotate_cik	li_annotate_ling_order	li_annotate_ling	comment	note	updated_time	created_time
xzcb2a3yzs5	xf546crehqh	睔	睔	1	春	柳	公	柳	1	1	目左右視1	左右視又露青1	1	原作「睔」。《廣》：「睔，盧本切，睔目貌。」聲調不合。此處來母變讀陰平，今口語未說。閩南話「目左右視」有「柳春切」的說法，意義與《廣韻》原注亦不合。	1	原作「睔」。《廣》：「睔，盧本切，睔目貌。」聲調不合。此處來母變讀陰平，今口語未說。閩南話「目左右視」有「柳春切」的說法，意義與《廣韻》原注亦不合。			2025-05-16 17:04:04	2025-05-16 17:04:04
xdytrx666bv	xv3fhh2dsdz	隴	隴	2	春	柳	公	柳	2	2	高山	高山大阪							2025-05-16 17:04:04	2025-05-16 17:04:04
xx83nstw5jc	xqgpxqwe7rg	壟	壠	2	春	柳	公	柳	3	3	邱~	田旁高土							2025-05-16 17:04:04	2025-05-16 17:04:04
xsg5xed53xz	xqgpxqwe7rg	壟	壟	2	春	柳	公	柳	4	4	邱~								2025-05-16 17:04:04	2025-05-16 17:04:04
xd23tfsbtra	xzwpt27j6dc	竉	竉	2	春	柳	公	柳	5	5	穴也								2025-05-16 17:04:04	2025-05-16 17:04:04
x3h4j3umwje			龍	2	春	柳	公	柳	6	6	~斷2		2	原作「龍」，與「壟」通。《孟子·公孫丑下》：「獨於富貴之中有龍斷焉？」「壟」亦寫作「龍」。					2025-05-16 17:04:04	2025-05-16 17:04:04
xn7uz9r8rd9	xq9j7642cfy	鸗	鸗	2	春	柳	公	柳	7	7	小鳥								2025-05-16 17:04:04	2025-05-16 17:04:04
xe9ym55whe3	x5ygpyebv5x	碌	碌	4	春	柳	公	柳	8	8	庸~	勞~庸凡							2025-05-16 17:04:04	2025-05-16 17:04:04
xhht4emvkrm			角	4	春	柳	公	柳	9	9	~里先生3	~里先生3	3	「⾓」有另一讀音，盧谷切，通常寫作「角」。⾓里先生，漢初隱士，商山四皓之一。	3	「⾓」有另一讀音，盧谷切，通常寫作「角」。⾓里先生，漢初隱士，商山四皓之一。			2025-05-16 17:04:05	2025-05-16 17:04:05
xpvsubypvb4			劣	4	春	柳	公	柳	10	10		不才							2025-05-16 17:04:05	2025-05-16 17:04:05
x2xu6kyfa3d	xfcvuzz6thw	倫	倫	5	春	柳	公	柳	11	11	~常	~理類也							2025-05-16 17:04:05	2025-05-16 17:04:05
x4cerhma65z	xnjrk48kmuk	綸	綸	5	春	柳	公	柳	12	12	經~	經~絲~							2025-05-16 17:04:05	2025-05-16 17:04:05
x3hyyvcywck	xuw43twnr9h	輪	輪	5	春	柳	公	柳	13	13	轉~	轉~							2025-05-16 17:04:05	2025-05-16 17:04:05
xersr2gbrf9	xyfue2ce8x9	淪	淪	5	春	柳	公	柳	14	14	~沒	沒也							2025-05-16 17:04:05	2025-05-16 17:04:05
x9c942avbb9			崙	5	春	柳	公	柳	15	15	崑~，山名	崑~							2025-05-16 17:04:05	2025-05-16 17:04:05
xnncg49fm2m	xu384vhyfgd	瓏	瓏	5	春	柳	公	柳	16	16	玲~，玉聲	玲~玉聲							2025-05-16 17:04:05	2025-05-16 17:04:05
xdn9dt9m4ff	xds994awvr8	朧	朧	5	春	柳	公	柳	17	17	朦~	朦~							2025-05-16 17:04:05	2025-05-16 17:04:05
xvqjfh2hg6b	xm69ddup8m6	掄	掄	5	春	柳	公	柳	18	18	擇也								2025-05-16 17:04:05	2025-05-16 17:04:05
xh67c48tnjt	x89nt4uaaw4	曨	曨	5	春	柳	公	柳	19	19	曈~，日欲明貌4		4	原作「朧」，重出，乃「曨」之誤。原注「踵」，乃「曈」之誤；「目」乃「日」之誤。《集》：「曨，盧東切，曈曨，日出。」《廣》：「曈，曈曨，欲明之貌。」音義皆合。					2025-05-16 17:04:05	2025-05-16 17:04:05
xqbgtkgp28x	x4hwm3ja9tp	惀	惀	5	春	柳	公	柳	20	20	思也								2025-05-16 17:04:05	2025-05-16 17:04:05
xrk4az2qehh	xeee5rh53f3	踚	踚	5	春	柳	公	柳	21	21	行								2025-05-16 17:04:05	2025-05-16 17:04:05
xyqs97qqe27	x9h8wg6vggu	腀	腀	5	春	柳	公	柳	22	22	皮~								2025-05-16 17:04:05	2025-05-16 17:04:05
xxscmga9een	xnu4u3vxy42	圇	圇	5	春	柳	公	柳	23	23	囫~								2025-05-16 17:04:05	2025-05-16 17:04:05
xykxdn67v5r	x8b2kkxjmgr	鯩	鯩	5	春	柳	公	柳	24	24	魚								2025-05-16 17:04:05	2025-05-16 17:04:05
xzctzhhsza9	x95rzkdfv46	錀	錀	5	春	柳	公	柳	25	25	金								2025-05-16 17:04:05	2025-05-16 17:04:05
xsmgdebnwgh			𧱜	5	春	柳	公	柳	26	26	獸5		5	原作「𩤇」。《康》無，疑乃「𧱜」之誤。《集》：「𧱜，龍春切，獸名。」音義合。					2025-05-16 17:04:05	2025-05-16 17:04:05
x4p79hmfrwe	xqce4vyezs6	嚨	嚨	5	春	柳	公	柳	27	27	喉~								2025-05-16 17:04:05	2025-05-16 17:04:05
xx8yrczagnz	xt9n96h6g3a	蜦	蜦	5	春	柳	公	柳	28	28	蛇屬								2025-05-16 17:04:05	2025-05-16 17:04:05
xtvfe8vg7ea	xayaqtymjw5	碖	碖	5	春	柳	公	柳	29	29	硱~，石落貌								2025-05-16 17:04:05	2025-05-16 17:04:05
xj4eg3skpb4	x9s5decg9xc	䆍	䆍	5	春	柳	公	柳	30	30	禾病								2025-05-16 17:04:05	2025-05-16 17:04:05
xtq9xd9dn62	xxfhg56w368	籠	籠	5	春	柳	公	柳	31	31	鳥~								2025-05-16 17:04:05	2025-05-16 17:04:05
x3b83y4yrk4	xu23rxcttck	櫳	櫳	5	春	柳	公	柳	32	32	獸檻								2025-05-16 17:04:05	2025-05-16 17:04:05
xb3yrnx5q6e	x2guehwv7gf	礱	礱	5	春	柳	公	柳	33	33	磨								2025-05-16 17:04:05	2025-05-16 17:04:05
xdz74nvnzeq	xe3ajkehw22	聾	聾	5	春	柳	公	柳	34	34	耳病								2025-05-16 17:04:05	2025-05-16 17:04:05
xqwp7t27zc3	xunt8gw2j2s	䑳	䑳	5	春	柳	公	柳	35	35	舟名								2025-05-16 17:04:05	2025-05-16 17:04:05
x3quvrk27x8	xnw6yd82hhq	弄	弄	7	春	柳	公	柳	36	36	戲~								2025-05-16 17:04:05	2025-05-16 17:04:05
x28u2a5r9r9			㑝	7	春	柳	公	柳	37	37	愚~								2025-05-16 17:04:05	2025-05-16 17:04:05
xrq7nevn4qe	x75ynt3e7ce	哢	哢	7	春	柳	公	柳	38	38	鳥吟聲								2025-05-16 17:04:05	2025-05-16 17:04:05
xp46f8hs8rw	xxe7svs9jkb	㢅	㢅	7	春	柳	公	柳	39	39	屏								2025-05-16 17:04:05	2025-05-16 17:04:05
xr75hs54atb			𡋱	7	春	柳	公	柳	40	40	穴縛								2025-05-16 17:04:05	2025-05-16 17:04:05
xecjwkp9ra9			𢙱	7	春	柳	公	柳	41	41	戇愚								2025-05-16 17:04:05	2025-05-16 17:04:05
xrrtrr593ea			𨛓	7	春	柳	公	柳	42	42	邑名在魯								2025-05-16 17:04:05	2025-05-16 17:04:05
x7jtbszqu3u	xzkzk6f3gws	梇	梇	7	春	柳	公	柳	43	43	木名								2025-05-16 17:04:05	2025-05-16 17:04:05
x6unkz6sdc3	xr9qcjxum5c	律	律	8	春	柳	公	柳	44	44	法~	法~							2025-05-16 17:04:05	2025-05-16 17:04:05
