id	word__id	word__text	text	banguace	page_number	column_number	row_number	radical_id	note	updated_time	created_time
xdneqrzpgyn	xtzxd8qgkm2	一	一	ék	1748	1	1	xvs8vrcbq5z		2025-05-16 17:05:06	2025-05-16 17:05:06
xukg9nvjw7a	xwh3swwjeep	丁	丁	dĭng	1748	1	3	xvs8vrcbq5z		2025-05-16 17:05:06	2025-05-16 17:05:06
xsch8xwv7p4			丈	diông	1748	1	4	xvs8vrcbq5z		2025-05-16 17:05:06	2025-05-16 17:05:06
xzqasbzc3fb			丈	dâung	1748	1	4	xvs8vrcbq5z		2025-05-16 17:05:06	2025-05-16 17:05:06
xmavcqp3r3h			丈	diòng	1748	1	4	xvs8vrcbq5z		2025-05-16 17:05:06	2025-05-16 17:05:06
xtjx46kqrry			丈	diōng	1748	1	4	xvs8vrcbq5z		2025-05-16 17:05:06	2025-05-16 17:05:06
xns8dv9ut3q			下	hâ	1748	1	5	xvs8vrcbq5z		2025-05-16 17:05:06	2025-05-16 17:05:06
x5kmbzdtanv	x397qnm94nz	三	三	săng	1748	1	6	xvs8vrcbq5z		2025-05-16 17:05:06	2025-05-16 17:05:06
xbr4pg2d7vf			上	siông	1748	1	7	xvs8vrcbq5z		2025-05-16 17:05:06	2025-05-16 17:05:06
x32ttfkykc2			上	siōng	1748	1	7	xvs8vrcbq5z		2025-05-16 17:05:06	2025-05-16 17:05:06
xz8v4jasutr			万	uâng	1748	1	8	xvs8vrcbq5z		2025-05-16 17:05:06	2025-05-16 17:05:06
xnk5dczhrsk	xt82jzpvx56	不	不	bók	1748	1	9	xvs8vrcbq5z		2025-05-16 17:05:06	2025-05-16 17:05:06
xb34pkgcp7z	xpj8xh359qu	丐	丐	gái	1748	1	10	xvs8vrcbq5z		2025-05-16 17:05:06	2025-05-16 17:05:06
xxrfaekj86v	x8mzhccs4j4	冇	冇	páng	1748	1	11	xvs8vrcbq5z		2025-05-16 17:05:06	2025-05-16 17:05:06
xzuajn4f8zf	xmvquc4hvhh	丑	丑	tīu	1748	1	12	xvs8vrcbq5z		2025-05-16 17:05:06	2025-05-16 17:05:06
xhvg498pq6y	xuetjyvab4a	丙	丙	bīng	1748	1	13	xvs8vrcbq5z		2025-05-16 17:05:06	2025-05-16 17:05:06
xs8h7pnsxhv			且	cṳ̆	1748	1	14	xvs8vrcbq5z		2025-05-16 17:05:06	2025-05-16 17:05:06
xaq5gazq5ux	xcacax8kmq5	𠕆	𠕆	dâing	1748	1	15	xvs8vrcbq5z		2025-05-16 17:05:06	2025-05-16 17:05:06
xr6yrh25y8a	xvmet8cru4q	丘	丘	kĭu	1748	1	16	xvs8vrcbq5z		2025-05-16 17:05:06	2025-05-16 17:05:06
xdfm463k8ce	xxrtfucu8tk	丕	丕	pī	1748	1	17	xvs8vrcbq5z		2025-05-16 17:05:06	2025-05-16 17:05:06
x3at2kqh5k4	x5a7wnrhz8h	世	世	sié	1748	2	1	xvs8vrcbq5z		2025-05-16 17:05:06	2025-05-16 17:05:06
xs77wv4ceyb			丢	dĭu	1748	2	2	xvs8vrcbq5z		2025-05-16 17:05:06	2025-05-16 17:05:06
xszn6q2x9k8			丢	lĭu	1748	2	2	xvs8vrcbq5z		2025-05-16 17:05:06	2025-05-16 17:05:06
x3dw9rg4asn			両	liōng	1748	2	3	xvs8vrcbq5z		2025-05-16 17:05:06	2025-05-16 17:05:06
xwqzc7hs3zk	xsxhchhhh6u	丞	丞	sìng	1748	2	4	xvs8vrcbq5z		2025-05-16 17:05:06	2025-05-16 17:05:06
xavn9mk3m8f			𠩄	sū	1748	2	5	xvs8vrcbq5z		2025-05-16 17:05:06	2025-05-16 17:05:06
x7x7asr97ya			並	béng	1748	2	6	xvs8vrcbq5z		2025-05-16 17:05:06	2025-05-16 17:05:06
xz8qgauzer3			丨	gūng	1748	2	7	xycgmm2semp		2025-05-16 17:05:06	2025-05-16 17:05:06
x2c2a26q2y8	xkpnwafjqmc	丫	丫	ă	1748	2	8	xycgmm2semp		2025-05-16 17:05:06	2025-05-16 17:05:06
xratgy6vmw9			个	gó̤	1748	2	9	xycgmm2semp		2025-05-16 17:05:06	2025-05-16 17:05:06
x4ksjymxg33			中	dṳ̆ng	1748	2	10	xycgmm2semp		2025-05-16 17:05:06	2025-05-16 17:05:06
x26xf5296gw			中	dé̤ṳng	1748	2	10	xycgmm2semp		2025-05-16 17:05:06	2025-05-16 17:05:06
xsf4m8dm5yp			中	dŏng	1748	2	10	xycgmm2semp		2025-05-16 17:05:06	2025-05-16 17:05:06
xmcmyxuhzc2			丰	hŭng	1748	2	11	xycgmm2semp		2025-05-16 17:05:06	2025-05-16 17:05:06
xrqynxcte9s	xgcf2prsq5g	丱	丱	guáng	1748	2	12	xycgmm2semp		2025-05-16 17:05:06	2025-05-16 17:05:06
xm4z52u3rqm	xnz7fbnwffw	串	串	chuóng	1748	2	13	xycgmm2semp	原書有誤，已更正	2025-05-16 17:05:06	2025-05-16 17:05:06
xkaqvpptw2u			丶	cṳ̄	1748	2	14	xwvere9dcfa		2025-05-16 17:05:06	2025-05-16 17:05:06
x8mp2texkdd	xqu7ysprwch	丸	丸	uòng	1748	2	15	xwvere9dcfa		2025-05-16 17:05:06	2025-05-16 17:05:06
x7bzm2ynugf	xmhy63yw6ac	丹	丹	dăng	1748	2	16	xwvere9dcfa		2025-05-16 17:05:06	2025-05-16 17:05:06
xf9zkmu7mc3			主	cṳ̄	1748	3	1	xwvere9dcfa		2025-05-16 17:05:06	2025-05-16 17:05:06
xp9fpfnnc8u			主	cuō	1748	3	1	xwvere9dcfa	原書有誤，已更正	2025-05-16 17:05:06	2025-05-16 17:05:06
