id	word__id	word__text	order	lexical_category	content	comment	sentences	source_tags	updated_time	created_time
xdnmneazwfr	xftq23bhnmh	刀魚	1	n	中文正式名「長頷鱭」，一種迴游魚類。形似小刀，故名			community contributor	2026-04-12 22:20:24	2026-04-12 22:20:24
xgb25j73qay	xjdafx5f4gr	筍咬	1	n	象鼻蟲	也有人說「筍䗔」		community contributor	2026-04-12 21:49:19	2026-04-12 21:19:22
x779ddk74yc	x7d2bm2t5ms	筍䗔	1	n	象鼻蟲	也有人說「筍咬」		community contributor	2026-04-12 21:49:30	2026-04-12 21:16:58
x6q9wnb29gy	xctkgkhg82r	石橄欖	1	n	植物名。正式名為「石仙桃」（Pholidota chinensis），屬蘭科石仙桃屬。常見有單葉與雙葉之別。民間認為有醫療保健作用，常用來跟其他肉類食材一起燉湯			community contributor	2026-04-12 22:23:31	2026-04-12 16:28:07
x5kvwfmf9uw	xm33kh9c5bw	欱	1	v	〈書〉飲、吸	《說文解字·欠部》：「欱，歠也。」口語，表示飲、喝，說「啜」（cuok24）。也可以用「食」（sieh5）泛指喫、喝。吸食說「欶」（sooh24）、「吸」（heih24）。	"[""〔漢〕張衡〈西京賦〉：「抱杜含鄠，～灃吐鎬。」""]"	community contributor	2026-04-12 15:59:08	2026-04-12 15:54:44
x7e69b46tuj	x37456e9kty	涰	1	v	〈書〉哭泣。通「啜」（zuok24）。	口語說「啼」（tie53）、「啼嘛」（tie55 ma53）。		community contributor	2026-04-12 15:36:23	2026-04-12 15:36:23
xtqgcmmu95z	xun4hjuaq2c	𪘁	1	v	〈書〉喫	《康熙》：「《廣韻》：『侯閤切。』《集韻》：『曷閤切，𠀤音合。』」《戚林八音》喜山下入：「食也。」		community contributor|李如龍. 戚林八音校注[M]. 福州: 福建人民出版社, 2001.	2026-04-12 15:32:47	2026-04-12 15:31:01
xq34cpjtgwk	x5bpfmnbc7u	菜白鴿	1	n	肉鴿，養來供食用的鴿子			community contributor	2026-04-12 15:34:18	2026-04-12 15:16:41
xuj55qwsd9k	x487v8t8y9w	信鴿	1	n	同普通話「信鴿」			community contributor	2026-04-12 15:12:26	2026-04-12 15:12:26
x9397ffewun	xf5gqm35thx	豬頭骨	1	n	豬的頭骨。福州常用來熬煮做清湯，給「鼎邊糊」「扁肉」「清湯麵」「粉乾」等做底湯			community contributor	2026-04-12 15:16:40	2026-04-12 15:06:02
