id	word__id	word__text	text	literal_pron	word_literal_pron__id	sandhi_pron	word_sandhi_pron__id	page_number	page_order	content	original_comment	comment	note	updated_time	created_time
xn5zx37ae3s	xg2z6v5uvub	捭鬮	捭鬮	bi55 kau55	xybh3jp7hk5	bi55 kau55	xmqyv3y4q8g	1	2	"[{""expl"": ""拈鬮。抓取物具以決勝負或卜可否。"", ""sent"": []}]"				2025-05-16 16:59:24	2025-05-16 16:59:24
xq5qx4jet8q	xnght5584ax	枇杷	枇杷	bi53 ba53	xsnzdpszwfy	bi33 wa53	x94ejgkvbuj	1	7	"[{""expl"": ""水果之一，果實淡黃色或橙黃色，外皮有細毛，可以吃。"", ""sent"": []}]"				2025-05-16 16:59:24	2025-05-16 16:59:24
x4svuscggug	xk9su82ymnr	琵*琶*兜*壁*	琵琶兜壁	bi53 ba53 dau55 bieh24	xym8a9xrcvv	bi21 wa21 lau53 wieh24	xp9eb37f927	1	8	"[{""expl"": ""蝙蝠。"", ""sent"": []}]"	郊區的說法			2025-05-16 16:59:24	2025-05-16 16:59:24
xmd2hvuz2k6	xywnjurejcc	脾土	脾土	bi53 tu33	xkxd6qyucyq	bi33 lu33	xfx76qk39h9	1	10	"[{""expl"": ""脾和胃的情況。"", ""sent"": [""～{𣍐,儥}和。""]}, {""expl"": ""指消化能力。"", ""sent"": [""～厚（消化好）。""]}, {""expl"": ""泛指對氣候和環境的適應能力。"", ""sent"": [""～{𣍐,儥}合（水土不服）。""]}, {""expl"": ""喻指習性、習慣。"", ""sent"": [""伊偷食都有～去。""]}]"				2025-05-16 16:59:24	2025-05-16 16:59:24
xvawyym9f8e	x8c9cnrmbnu	脾胃	脾胃	bi53 ui242	xfktw67u9n3	bi21 ui242	xmypdkbq7b2	1	12	"[{""expl"": ""胃。"", ""sent"": [""我～{𣍐,儥}好，{𣍐,儥}食蟶。""]}, {""expl"": ""胃口；食欲。"", ""sent"": [""我～未開，伓想食。""]}, {""expl"": ""比喻對事物愛好、憎惡的習性。"", ""sent"": [""{這,者*}事{𣍐,儥}合我～。""]}]"				2025-05-16 16:59:25	2025-05-16 16:59:25
xvext5tbmvr	xnk54d82wu4	鼻屎	鼻屎	pei213 sai33	xgzg42a3e5h	pi53 lai33	xw5j772a9aa	2	17	"[{""expl"": ""乾鼻涕。"", ""sent"": []}, {""expl"": ""比喻一丁點兒。"", ""sent"": [""～大其{事計,事際}，也{這麼,這滿}驚（害怕）。"", ""～嫩（小）其儂，故會想做主席。""]}]"				2025-05-16 16:59:25	2025-05-16 16:59:25
xd887jqa44q	x9rsy9ty5gs	鼻頭	鼻頭	pei213 tau53	x5trrybhxve	pi55 lau53	xx5zuupgxgs	2	18	"[{""expl"": ""指鼻子尖兒的部位。"", ""sent"": [""～紅紅着。""]}]"				2025-05-16 16:59:25	2025-05-16 16:59:25
xzra5ftcx4z	xvptrxr56j2	鼻水	鼻水	pei213 zui33	xexhatv9shr	pi53 jui33	xzfapnq334d	2	19	"[{""expl"": ""清鼻涕。"", ""sent"": []}]"				2025-05-16 16:59:25	2025-05-16 16:59:25
xjvvjd9857k	xhb4wn22n6p	鼻心	鼻心	pei213 sing55	xtzb78upbu9	pi55 ling55	xmjut9xt35b	2	20	"[{""expl"": ""兩眼之間、鼻梁最低的部分。"", ""sent"": [""伲囝（小孩兒）～有青筋{𣍐,儥}（不）好。""]}]"				2025-05-16 16:59:25	2025-05-16 16:59:25
xvezm8hpvar	xmdygmpp8wg	鼻熏	鼻熏	pei213 houng55	xne2bn2cdsm	pi55 houng55	xqse4p9c85f	2	21	"[{""expl"": ""由鼻孔吸入的粉末狀的煙。北京話叫“鼻煙兒”。"", ""sent"": []}]"				2025-05-16 16:59:25	2025-05-16 16:59:25
x24tnuk9px8	xdz5528gem7	鼻空	鼻空	pei213 keoyng55	x2dxcvmx8qs	pi55 keoyng55	xk27vhv42qr	2	22	"[{""expl"": ""鼻孔。"", ""sent"": []}]"				2025-05-16 16:59:25	2025-05-16 16:59:25
