id	word__id	word__text	yngping	is_sandhi	is_primary	note	variant	source_type	updated_time	created_time
xhdtv6db2r9	xg964wvczjj	龍船尾	lung33 sung33 mui33	1	0			ime	2025-05-16 16:54:19	2025-05-16 16:54:19
xn7fvtms6zp	xza7ccf2jmp	龍船厝	lung21 nung21	1	0			ime	2025-05-16 16:54:19	2025-05-16 16:54:19
xjresam84wp	xr3ah553rhk	龍船鼓轉頭	lung33 nung33 ngu33 duong21 nau53	1	0			ime	2025-05-16 16:54:19	2025-05-16 16:54:19
xu5qz6b32x4	xkn7juwkqju	龍船癲	lung55 nung55 dieng55	1	0			ime	2025-05-16 16:54:19	2025-05-16 16:54:19
xh3bgtzvcn4	xqgpxqwe7rg	壟	lung33	0	1			ime	2025-08-18 23:02:05	2025-05-16 16:54:18
xk9wz5qu7df	xq9j7642cfy	鸗	lung33	0	1			ime	2025-08-18 23:02:05	2025-05-16 16:54:19
xycj8du5txw	x5ygpyebv5x	碌	louk24	0	1			ime	2025-08-18 23:02:05	2025-05-16 16:54:19
x7q6g5ge5md	xdfagspjsjt	碌碌過	luk21 louk24 guo213	1	1			ime	2025-08-25 23:12:12	2025-05-16 16:54:19
xd77y6e4d2q	xuw43twnr9h	輪	lung53	0	1			ime	2025-08-18 23:02:05	2025-05-16 16:54:19
x7vhyzrczyt	xgegdgk5ufu	輪鞋套	lung21 e21 too213	1	1			ime	2025-08-18 23:02:05	2025-05-16 16:54:19
xren54zd6hw	x9bzstvtubt	輪活	lung33 uak5	1	0			ime	2025-08-23 19:27:01	2025-05-16 16:54:19
xnsm8ffg9d6	xyfue2ce8x9	淪	lung53	0	1			ime	2025-08-18 23:02:05	2025-05-16 16:54:19
xfxb8rft9z2	xe4rfxvfkq9	崙	lung53	0	1			ime	2025-08-18 23:02:05	2025-05-16 16:54:19
xgvun4xq2zf	xu384vhyfgd	瓏	lung53	0	1			ime	2025-08-18 23:02:05	2025-05-16 16:54:19
xsctvy3xhnm	xds994awvr8	朧	lung53	0	1			ime	2025-08-18 23:02:05	2025-05-16 16:54:19
xmww4nbf2aa	xm69ddup8m6	掄	lung53	0	1			ime	2025-08-18 23:02:05	2025-05-16 16:54:19
x23v4pgrm4w	xunt8gw2j2s	䑳	lung53	0	1			ime	2025-08-18 23:02:05	2025-05-16 16:54:19
x88s46t9rp6	xqce4vyezs6	嚨	lung53	0	1			ime	2025-08-18 23:02:05	2025-05-16 16:54:19
xh8twc4r4rd	xxfhg56w368	籠	lung53	0	1			ime	2025-08-18 23:02:05	2025-05-16 16:54:19
