id	md5	yngping	speaker	note	updated_time	created_time
x35gesne54y	8e5fcec3fb9aba0e05b6dd3628470aeb	hau53 loung242	Speaker_1		2025-09-28 00:46:44	2025-09-28 00:46:44
x8khvavq26p	bee0149345fe259c9b3178bbf60f4116	huk21 ziu55	Speaker_1		2025-09-28 00:46:44	2025-09-28 00:46:44
xtjjt9xv3dr	aea5900e1e06bb11d6e90819cd4e1083	huk55 gyong213	Speaker_1		2025-09-28 00:46:44	2025-09-28 00:46:44
xjvujukpuev	f0fa6a69a4c4e344f17affb2bf19f6aa	bik55 coo213	Speaker_1		2025-09-28 00:46:44	2025-09-28 00:46:44
x7wk9wwbghp	24597c0fe85fb81f12f89c081365f18b	ngai33	Speaker_1		2025-09-28 00:46:44	2025-09-28 00:46:44
x379y9g4cnw	d4aeb0a7dc8a4094a1e77feeecdbb82a	ma55 suong242	Speaker_1		2025-09-28 00:46:44	2025-09-28 00:46:44
x7jqpcjmq3x	7d6bfa002c0121c1ce0ca81f3c89db3d	mang33	Speaker_1		2025-09-28 00:46:44	2025-09-28 00:46:44
xsev9r9qzfr	24f90418d6945e99ed49b86200fbb249	mo21 siang21 nooh24	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x76wjuv5pw4	5c5f75d101b27aa7e78d88586da643d1	mo21 zo55 siang55	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xbpeajydrcv	51389cbfc1ea0b8e195efb09dc7cd236	se55 gua55	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xxskyvdh772	3119538f9867a7cdd8e470670a7e5e09	se55 meing213	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xah2hbahuuc	adbde1e70830d7ec2427ffd3b73b0117	soh33 nik5	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x9ehz5a5ek7	b2b371b772ff27d13b455323af34b241	soh55 hung55	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x92quvcnbbq	c92b8a64cbb9334a05c14b1f8aaa19a2	tai55 dy55	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x4qhgy9gt79	c221bf13d9b67f681cd9a4eeb21b2285	zing21 huong213	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xdt3k5s2fq4	409bc3d25a51e2e65bfa9455e729fa59	zo55 ceing53	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x8f3r34dzv2	9c2cfed20e12794edb57c5b679f8bcd4	zo53 deoy33	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x6gtk9xvcek	ed92b6ea5c3c23cb5a65aabafaa880e1	zo55 geoyng55	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xt64gepcvdg	e17e0ec01f79e7288c8c48bf0110f9e1	zo55 cu55	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xx65buuhfhg	4bd0dfcee7543d9b972d1e651c983aaf	zeoyng55 nuoh5	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xs4qpzju3nj	8a6d78cd806ec3555c4a1598c27d7742	nik33 tau53	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xuxuvs8s48y	d83d5932094915f42eb7edb4b4ee41b2	buang55 meing55 nik5	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xf5bp3u9s89	05c8bdc99818fb373e1325d992ef321c	nik5 tau55 hua55	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xxvkmfcxxy6	ebc2885695194fd6259603ee1a2779fd	nik33 tau33 oung33	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x8u4uadrm63	b145c447aa4504cb7c1f396def7a057f	dang55 nguong55	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x6ytyzzhrjz	fae38f50ba99f6658d70e6f9efa4fbf3	do55 dang53	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x9k6pkjnahr	35dc778a83c7cd8d28ac55f98160b16c	do53 lang33 ngoung33	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xyyv6bg5s9h	426d1f1c62fe81b9815ab1ae70a258c4	hyong55 nik5	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x2gzfgwg8bf	c9a9a0537fc30a2532cdca9f107004dd	diu33 yong53	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xh8wrgbbtuf	2266ba3b325d4dc4d73c2ac14b0f6c35	se53 jiu213	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x4x472ycncr	854cb10806c46ca8256bae9df659e466	bui53 oung33	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xx9bvav2cag	01b3c5bbc1896806cd3137b06abc2fba	dang33 oung33	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xz29c7myg7k	00434ec9eb160965e3c4be9e6bc24f0d	nik5 seik24	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xd9p5c28wch	078867aeccb78f14d44797c0785f20bf	nik5 uong242	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x9hmq5gnqag	843937610c3621634da4a995e3299081	mi33 mo33 nguok5	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x5hcsujs4uk	8f05d6bc3f8eddfec3814afd208a8567	buang55 meing55 nguok5	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x7ec8ks9yz2	fcd29da8162fac5b56bd2bc359aac740	nguok33 hua53	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xpcbpx3hujp	cd453b84387f7b6e3045f3c2e38ef424	nguok5 ziu213 gi0 di55 huong55	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xe4mpnetqxp	0d5f55f365fecfbf76a4ee725f2dd1bc	nguok5 seik24	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xxypnakbwd7	486aa3ad582778446aab7af0a304fb02	cang55 suong55 nik5 sing55	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xty99ez9ux3	9d8655ed701fa45ea2cbb9dbe2806a90	huong21 ne55 ling55	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x23ppanapbd	395913733beb181e7cce339f0e8b63c1	liu55 ling55	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xb2yk2pn8y6	d3eb35dca44851bef0e073f3eb6efbd7	sa21 ciu21 sing55	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xfn7ys7r5vk	cb98102941b6081a0b09f4138a940bbd	ceing21 njiu21 ling55	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
x3tutgvsbmd	ddbe85682a97f9b85cfac5768f9a6272	tieng55 ngo53	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xjftxdgu5am	6447cf80b8a62cd67cbab4b0033a9f8b	hung55 ni53	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
xtsanjdyeba	a982c5a9adfac73e5d5f20992d28bdcf	hung55 ni53 lai33 y33	Speaker_1		2025-09-28 00:46:45	2025-09-28 00:46:45
