id	word__id	word__text	text	type	glyph_category	glyph_type	updated_time	created_time
xp6zz89ca7m	xf546crehqh	睔	左右看	M			2025-05-16 16:54:18	2025-05-16 16:54:18
x3uj4rhxt8x	xf546crehqh	睔	揮手擊	M			2025-05-16 16:54:18	2025-05-16 16:54:18
xvyn39a6twk	xf546crehqh	睔	左右瞄	S			2025-05-16 16:54:18	2025-05-16 16:54:18
xfy6cgyc87w	xf546crehqh	睔	左右瞟	S			2025-05-16 16:54:18	2025-05-16 16:54:18
xfehffd2jdg	xf546crehqh	睔	揮手擊	S			2025-05-16 16:54:18	2025-05-16 16:54:18
x4ps32cugkg	xf546crehqh	睔	揮手錘	S			2025-05-16 16:54:18	2025-05-16 16:54:18
xp6ehrnaa3s	xf546crehqh	睔	揮手捶	S			2025-05-16 16:54:18	2025-05-16 16:54:18
x95ktnz78cx	xf546crehqh	睔	揮手鎚	S			2025-05-16 16:54:18	2025-05-16 16:54:18
xnzrtye9p5t	xf546crehqh	睔	揮手打	S			2025-05-16 16:54:18	2025-05-16 16:54:18
x42anptcmv7	xf546crehqh	睔	用手擊	S			2025-05-16 16:54:18	2025-05-16 16:54:18
xcujwwfeuxg	xf546crehqh	睔	用手錘	S			2025-05-16 16:54:18	2025-05-16 16:54:18
xqwjbgkn8u5	xf546crehqh	睔	用手捶	S			2025-05-16 16:54:18	2025-05-16 16:54:18
xxhjyfkbkzd	xf546crehqh	睔	用手鎚	S			2025-05-16 16:54:18	2025-05-16 16:54:18
x57y9ttfktg	xf546crehqh	睔	用手打	S			2025-05-16 16:54:18	2025-05-16 16:54:18
x4j7zzgreky	x8mhs8j3gkr	攏總	隴總	A			2025-05-16 16:54:18	2025-05-16 16:54:18
xwszdsycek8	x8mhs8j3gkr	攏總	共計	M			2025-05-16 16:54:18	2025-05-16 16:54:18
x387j85y5fm	x8mhs8j3gkr	攏總	總計	M			2025-05-16 16:54:18	2025-05-16 16:54:18
xqx6y4dftqw	x8mhs8j3gkr	攏總	總共	M			2025-05-16 16:54:18	2025-05-16 16:54:18
xhs5wu5uggz	x8mhs8j3gkr	攏總	悉數	M			2025-05-16 16:54:18	2025-05-16 16:54:18
xz3hdz46bv5	x8mhs8j3gkr	攏總	全盤	S			2025-05-16 16:54:18	2025-05-16 16:54:18
