id	text	expl_content	sandhi_pron	literal_pron	local_pron	locale	reference	status	word__id	word__text	note	updated_time	created_time
xfm7gwykkra	尚幹	地名，在今閩侯縣東南部‖尚變調特殊	suong21 ngang213	suong242 gang213		mnhu		3rvd	xgcj4dym27h	尚幹		2025-05-16 17:05:43	2020-03-09 00:00:00
xd56zkfxem8	很*拈*	程度副詞，比較：我頭髮～長了，着剃了‖原始形式不明，還可以說teing21 nieng55、to21 lieng55、to21 leing55等等	heing21 nieng55	heing33 nieng55				3rvd	xpzcm6hw727	很*拈*		2025-05-16 17:05:43	2020-03-09 00:00:00
xqtsrpy4edc	頭輪許所	剛剛、剛剛那裡。「頭輪許所」的合音‖非城內口音，見於尚幹等地	ta21 ung53 neo33	tau53 lung53 hy33 neo33				3rvd	xx55f638pzy	頭輪許所		2025-05-16 17:05:43	2020-03-09 00:00:00
xsczrnqef55	茄囝	茄子‖非城內口音，見於尚幹等地	gyo33 iang33	gyo53 giang33				3rvd	x9w2bfr55v7	茄囝		2025-05-16 17:05:43	2020-03-09 00:00:00
xtzunn3urs7	叱	責備：我都無怪汝，汝單倒屈𡅏～我	cie55	cie55				3rvd	xuncvx872y5	叱		2025-05-16 17:05:43	2020-03-10 00:00:00
x4y6gwnm7d5	吸	吸：空氣野鮮吓，～蜀～	ngeik24	ngeik24				3rvd	xhjq2mh95qt	吸		2025-05-16 17:05:43	2020-03-19 00:00:00
xm4tyg6qf86	手機	同普通話「手機」	ciu21 gi55	ciu33 gi55				3rvd	x9xpuf5pxaw	手機		2025-05-16 17:05:43	2020-03-22 00:00:00
x3bqp8bpvaa	電話	同普通話「電話」	dieng53 ngua242	dieng242 ua242				3rvd	xsqnyk9ahjt	電話		2025-05-16 17:05:44	2020-03-22 00:00:00
xacuv22x565	電腦	同普通話「電腦」	dieng53 no33	dieng242 no33				3rvd	xtu8rdq3bsw	電腦		2025-05-16 17:05:44	2020-03-22 00:00:00
x8wut2hqju2	電子	①同普通話「電子」②特指電子遊戲：拍～	dieng53 njy33	dieng242 zy33				3rvd	x8kc2pnxphc	電子		2025-05-16 17:05:44	2020-03-22 00:00:00
xh82exd25pa	電視	同普通話「電視」	dieng53 sei242	dieng242 sei242				3rvd	xuuj6arbmqn	電視		2025-05-16 17:05:44	2020-03-22 00:00:00
xsmyw6xeudv	空氣	同普通話「空氣」：～野鮮吓，吸蜀吸	kung53 kei213	kung55 kei213				3rvd	x2b6mw4nhyx	空氣		2025-05-16 17:05:44	2020-03-22 00:00:00
