id	text	expl_content	sandhi_pron	literal_pron	local_pron	locale	reference	status	updated_time	created_time
x2w4end2z2m	央*	將戀愛對象帶回家	yong55	yong55		mqig, ygti			2025-05-16 17:05:43	2020-08-23 00:00:00
xv2gmxq3sk5	跍*	撲克牌「Q」的俗稱	ku53	ku53		liji			2025-05-16 17:05:43	2020-11-23 00:00:00
xgjf6zapn4v	平挑*直	事情安排妥當：自家事際會做～就野好了哇，汝故會插別儂事際	bang21 niu55 lik5	bang53 tiu55 dik5					2025-05-16 17:05:43	2021-01-13 00:00:00
xhdr8hw8k3m	𠸂䇭	泛指笠形腹足類（Patellogastropoda）軟體動物，即笠貝或帽貝	pu53 lo33	pou213 lo33					2025-05-16 17:05:43	2021-02-15 00:00:00
xyt7pbj7ck7	醬行	賣醬的店鋪	zuong55 ngoung53	zuong213 oung53		fzho			2025-05-16 17:05:43	2021-02-27 00:00:00
xqjdt84r2jd	四媽三婆	統稱依媽、外媽、姨媽、妗媽、姑婆、姆婆、嬸婆	si53 ma33 sang55 bo53	sei213 ma33 sang55 bo53		mnhu			2025-05-16 17:05:43	2021-03-02 00:00:00
x8x5wkfsrs9	老猊*摣鸡囝	遊戲名，外地說「老鷹捉小雞」	lo21 nge53 ma55 gie53 iang33	lo33 nge53 ma55 gie55 giang33					2025-05-16 17:05:43	2021-03-16 00:00:00
xc3b9m5jqw3	閩東	①指福建東部②代指寧德	ming55 dung55	ming53 dung55				1rvd	2025-06-10 02:08:03	2020-09-24 00:00:00
xgyuh8wf9d9	過家家	「做辦辦」的別名	guo21 ga55 ga55	guo213 ga55 ga55				1rvd	2025-06-10 02:08:46	2021-03-16 00:00:00
xr4ea5bgeyt	嗄*	語氣詞：～，汝講世乇	hak24	hak24				1rvd	2025-06-10 02:18:46	2020-11-08 00:00:00
xza57fx7nn3	閩東儂	閩東人	ming55 dung55 neoyng53	ming53 dung55 neoyng53				1rvd	2025-06-10 02:18:56	2020-10-04 00:00:00
x7qhg53qhcj	過塑	以透明塑料薄膜通過熱壓覆貼到印刷品表面，起保護及增加光澤的作用	guo53 lou213	guo213 sou213		fzho		1rvd	2025-06-10 02:19:14	2021-02-14 00:00:00
xqxmn2eudh8	豬尾	豬尾巴，菜餚	dy53 mui33	dy55 mui33		fzho		1rvd	2025-06-10 02:19:44	2021-02-26 00:00:00
xar8wapnu7h	刺絲	鳳尾魚。極小，炸完後幾無骨頭‖又稱「刺絲囝」	cie55 li55	cie213 si55		fzho		1rvd	2025-06-10 02:20:05	2021-02-26 00:00:00
xqdcpxs4ec2	刺絲囝	鳳尾魚。極小，炸完後幾無骨頭：賣～去（噢）‖又稱「刺絲」	cie21 li53 iang33	cie213 si55 giang33		fzho	李永选. 卷十二[M]// 长乐六里志. “赤仔即赤鳀，又美其名曰凤尾鱼。产江左伯牙潭附近。”	1rvd	2025-06-10 02:20:18	2021-02-26 00:00:00
xuj6jkq8gg4	刀魚	學名長頷鱭，一種迴游魚類。形似小刀，故名	do55 ngy53	do55 ngy53		fzho		1rvd	2025-06-10 02:20:32	2021-02-26 00:00:00
xvg9v45u9dj	柴排厝	簡易的木結構的房子	ca21 we21 juo213	ca53 be53 cuo213		fzho		1rvd	2025-06-10 02:20:57	2021-02-27 00:00:00
