id	text	character_map	tags	gloss	phonology_initial	phonology_final	phonology_tone	glyph_comment	pron_comment	expl_comment	note	is_published	updated_time	created_time
x8aujs7k6vd	糞掃										教育部《臺灣台語常用詞辭典》作「糞埽」，記入「其他方言用字」	1	2026-03-27 00:03:00	2025-05-16 16:54:19
xsjymgfrvp9	攏				柳	春	2					1	2025-08-17 22:06:35	2025-05-16 16:54:18
xvepgzhez5j	碌碌											1	2025-08-18 22:57:49	2025-05-16 16:54:19
xv3fhh2dsdz	隴			見隴西	柳	春	2					1	2025-08-17 22:06:35	2025-05-16 16:54:18
xqgpxqwe7rg	壟			見壟斷	柳	春	2					1	2025-08-17 22:06:35	2025-05-16 16:54:18
xzwpt27j6dc	竉		少用文辭		柳	春	2					1	2025-08-17 22:06:35	2025-05-16 16:54:19
xq9j7642cfy	鸗		少用文辭		柳	春	2					1	2025-08-17 22:06:35	2025-05-16 16:54:19
x5ygpyebv5x	碌				柳	春	4					1	2025-08-17 22:06:35	2025-05-16 16:54:19
xdfagspjsjt	碌碌過											1	2025-08-18 22:57:49	2025-05-16 16:54:19
xxnw6daex8e	輪鞋											1	2025-08-18 22:57:49	2025-05-16 16:54:19
xbx68uan72h	甪		少用文辭		柳	春	4					1	2025-08-17 22:06:35	2025-05-16 16:54:19
xuw43twnr9h	輪				柳	春	5					1	2025-08-17 22:06:35	2025-05-16 16:54:19
xgegdgk5ufu	輪鞋套											1	2025-08-18 22:57:49	2025-05-16 16:54:19
xg24skggsty	輪迴											1	2025-08-18 22:57:49	2025-05-16 16:54:19
x9bzstvtubt	輪活			靈活								1	2025-08-23 21:26:25	2025-05-16 16:54:19
xs3gf6vp893	龍船架											1	2025-09-20 14:37:59	2025-05-16 16:54:19
xk2cte9phfk	糞桸											1	2025-10-23 20:21:07	2025-05-16 16:54:19
xur5qqa6huj	龍船											1	2025-08-23 21:27:08	2025-05-16 16:54:19
xg964wvczjj	龍船尾											1	2025-08-18 22:57:49	2025-05-16 16:54:19
xza7ccf2jmp	龍船厝											1	2025-08-18 22:57:49	2025-05-16 16:54:19
x65824k3n7q	龍船經											1	2025-08-18 22:57:49	2025-05-16 16:54:19
x9tkdezexa4	龍				柳	春	5				僅出現在龍船中，是否是韻母受到後字影響，發音待確定	1	2025-10-07 22:17:06	2025-05-16 16:54:19
xr3ah553rhk	龍船鼓轉頭											1	2025-08-18 22:57:49	2025-05-16 16:54:19
xkn7juwkqju	龍船癲											1	2025-08-18 22:57:49	2025-05-16 16:54:19
x27vdxcvd97	律師											1	2025-08-18 22:57:49	2025-05-16 16:54:19
xfcvuzz6thw	倫			見倫理	柳	春	5					1	2025-08-17 22:06:35	2025-05-16 16:54:19
xnjrk48kmuk	綸			見經綸	柳	春	5					1	2025-08-17 22:06:35	2025-05-16 16:54:19
xyfue2ce8x9	淪			見淪陷	柳	春	5					1	2025-08-17 22:06:35	2025-05-16 16:54:19
xe4rfxvfkq9	崙			見崑崙	柳	春	5					1	2025-08-17 22:06:35	2025-05-16 16:54:19
xu384vhyfgd	瓏			見玲瓏	柳	春	5					1	2025-08-17 22:06:35	2025-05-16 16:54:19
xds994awvr8	朧			見朦朧	柳	春	5					1	2025-08-17 22:06:35	2025-05-16 16:54:19
xm69ddup8m6	掄			見掄材，不是北方方言的掄棒子	柳	春	5					1	2025-08-17 22:06:35	2025-05-16 16:54:19
xunt8gw2j2s	䑳			見輪船	柳	春	5					1	2025-08-17 22:06:35	2025-05-16 16:54:19
xnu4u3vxy42	圇		少用文辭	不是口語中常用的囫圇	柳	春	5					1	2025-08-17 22:06:35	2025-05-16 16:54:19
xqce4vyezs6	嚨		少用文辭	不是口語常用的喉嚨	柳	春	5					1	2025-08-17 22:06:35	2025-05-16 16:54:19
xxfhg56w368	籠		少用文辭	不是口語常用的籠	柳	春	5					1	2025-08-17 22:06:35	2025-05-16 16:54:19
x2guehwv7gf	礱		少用文辭	不是口語常用的礱	柳	春	5					1	2025-08-17 22:06:35	2025-05-16 16:54:19
xe3ajkehw22	聾		少用文辭	不是口語常用的聾	柳	春	5					1	2025-08-17 22:06:35	2025-05-16 16:54:19
x89nt4uaaw4	曨		少用文辭		柳	春	5					1	2025-08-17 22:06:35	2025-05-16 16:54:19
x4hwm3ja9tp	惀		少用文辭		柳	春	5					1	2025-08-17 22:06:35	2025-05-16 16:54:19
xeee5rh53f3	踚		少用文辭		柳	春	5					1	2025-08-17 22:06:35	2025-05-16 16:54:19
x9h8wg6vggu	腀		少用文辭		柳	春	5					1	2025-08-17 22:06:35	2025-05-16 16:54:19
x8b2kkxjmgr	鯩		少用文辭		柳	春	5					1	2025-08-17 22:06:35	2025-05-16 16:54:19
x95rzkdfv46	錀		少用文辭		柳	春	5					1	2025-08-17 22:06:36	2025-05-16 16:54:19
xaj26svgrkg	𧱜		少用文辭		柳	春	5					1	2025-08-17 22:06:36	2025-05-16 16:54:19
xt9n96h6g3a	蜦		少用文辭		柳	春	5					1	2025-08-17 22:06:36	2025-05-16 16:54:19
xayaqtymjw5	碖		少用文辭		柳	春	5					1	2025-08-17 22:06:36	2025-05-16 16:54:19
xu23rxcttck	櫳		少用文辭		柳	春	5					1	2025-08-17 22:06:36	2025-05-16 16:54:19
x5xpr4925pf	侖		少用文辭		柳	春	5					1	2025-08-17 22:06:36	2025-05-16 16:54:19
xh5hg2a3snj	蘢		少用文辭		柳	春	5					1	2025-08-17 22:06:36	2025-05-16 16:54:19
xnw6yd82hhq	弄				柳	春	7				㑝爲分化字，乃愚弄之弄	1	2025-08-17 22:06:36	2025-05-16 16:54:19
x75ynt3e7ce	哢		少用文辭		柳	春	7					1	2025-08-17 22:06:36	2025-05-16 16:54:19
xxe7svs9jkb	㢅		少用文辭		柳	春	7					1	2025-08-17 22:06:36	2025-05-16 16:54:19
xydhe2ebmhp	𢙱		少用文辭		柳	春	7					1	2025-08-17 22:06:36	2025-05-16 16:54:19
xqx9xfsvzmc	𨛓		少用文辭		柳	春	7					1	2025-08-17 22:06:36	2025-05-16 16:54:19
xzkzk6f3gws	梇		少用文辭		柳	春	7					1	2025-08-17 22:06:36	2025-05-16 16:54:19
xr9qcjxum5c	律				柳	春	8					1	2025-08-17 22:06:36	2025-05-16 16:54:19
xrqjf4xp6qp	轆索										繂索是取同音字	1	2025-08-18 22:57:49	2025-05-16 16:54:19
xejuf8d77uy	轆			一種取水工具	柳	春	8					1	2025-08-17 22:06:36	2025-05-16 16:54:19
xq89sdkhrzg	轆餅										繂餅是取同音字	1	2025-08-18 22:57:49	2025-05-16 16:54:19
xprq5p6mrrb	糞斛											1	2025-08-18 22:57:49	2025-05-16 16:54:19
xn5ruzqarge	率			見概率	柳	春	8					1	2025-08-17 22:06:36	2025-05-16 16:54:19
xc3r3rb4jsr	睩			見𥆌睩	柳	春	8					1	2025-08-17 22:06:36	2025-05-16 16:54:19
xtt6aagbu6n	碌			見勞碌	柳	春	8					1	2025-08-17 22:06:36	2025-05-16 16:54:19
x8pj5cruzxa	膟		少用文辭		柳	春	8					1	2025-08-17 22:06:36	2025-05-16 16:54:19
x4nsgvzhy4j	𠷈		少用文辭		柳	春	8					1	2025-08-17 22:06:36	2025-05-16 16:54:19
xw39wcxaf6k	嵂		少用文辭		柳	春	8					1	2025-08-17 22:06:36	2025-05-16 16:54:19
x6zzpfpes3a	𢟳		少用文辭		柳	春	8					1	2025-08-17 22:06:36	2025-05-16 16:54:19
xghh8u77jad	𩴐		少用文辭		柳	春	8					1	2025-08-17 22:06:36	2025-05-16 16:54:19
xmwketmmd8d	崩			崩裂，子宮出血	邊	春	1				痭爲分化字，乃血山崩之崩	1	2025-08-17 22:06:36	2025-05-16 16:54:19
xtckryz244q	方			量詞，一塊	邊	春	1					1	2025-08-17 22:06:36	2025-05-16 16:54:19
x3pd6wx4v3e	琫		少用文辭		邊	春	2					1	2025-08-17 22:06:36	2025-05-16 16:54:19
xfnwrxdqa4r	唪		少用文辭		邊	春	2					1	2025-08-17 22:06:36	2025-05-16 16:54:19
xfct32qj25u	糞				邊	春	3				𡊄爲異體，但僅表糞掃	1	2025-08-17 22:06:36	2025-05-16 16:54:19
xdg34ec8pnx	糞池											1	2025-08-18 22:57:49	2025-05-16 16:54:19
xyfmj7s9jyw	糞桶											1	2025-08-18 22:57:49	2025-05-16 16:54:19
xktpudbemhb	糞楻											1	2025-08-18 22:57:49	2025-05-16 16:54:19
xas4bt2eksj	糞掃埕											1	2025-08-18 22:57:49	2025-05-16 16:54:20
x3pqy8quw6x	糞空			糞坑								1	2025-08-18 22:57:49	2025-05-16 16:54:20
xrjj2tdyfuv	糞坑											1	2025-08-18 22:57:49	2025-05-16 16:54:20
xf7sfrcstbr	龍船頭											1	2025-08-23 16:17:08	2025-05-16 16:54:19
x8mhs8j3gkr	攏總							隴總來自DFD				1	2025-08-18 22:57:49	2025-05-16 16:54:18
xf26mx3tkj8	罷*		同音字|俗字		邊	嘉	7	本字爲「父」，福州民間多俗寫爲同音字「罷*」。《全唐詩》顧況《囝》：「囝别郎罷，心摧血下。」				1	2026-02-09 22:29:23	2026-02-09 22:26:23
xwcgpsmsgh7	糞坑馬											1	2025-08-18 22:57:49	2025-05-16 16:54:20
x99hjhuqjm8	糞坑厝											1	2025-08-18 22:57:49	2025-05-16 16:54:20
xnpzpxmrx2w	畚斗											1	2025-08-18 22:57:49	2025-05-16 16:54:20
xakxqumk9vg	畚箕											1	2025-08-18 22:57:49	2025-05-16 16:54:20
xs5erp8e8zt	放節											1	2025-08-18 22:57:49	2025-05-16 16:54:20
xhnbv4x893h	放				邊	春	3					1	2025-08-17 22:06:36	2025-05-16 16:54:20
x6yvf7gd8qp	放早											1	2025-08-18 22:57:49	2025-05-16 16:54:20
x3ghsdp43z6	放俤所											1	2025-08-18 22:57:49	2025-05-16 16:54:20
xrkk8qc4atc	放仂囝											1	2025-08-18 22:57:49	2025-05-16 16:54:20
x95eavbkdgb	放子											1	2025-08-18 22:57:49	2025-05-16 16:54:20
xsu3eq78auw	房頭											1	2025-08-23 21:29:42	2025-05-16 16:54:21
xjhahk9caxq	放帖											1	2025-08-18 22:57:49	2025-05-16 16:54:20
xmmfj54wvp3	放錢紙											1	2025-08-23 21:28:33	2025-05-16 16:54:20
xvbegektwhe	放齋											1	2025-08-18 22:57:49	2025-05-16 16:54:20
xdezqh6ygfs	放晝											1	2025-08-18 22:57:49	2025-05-16 16:54:20
xbyxqa5jqsb	放假											1	2025-08-18 22:57:49	2025-05-16 16:54:20
xe6ebrn74fn	放炮仗											1	2025-08-18 22:57:49	2025-05-16 16:54:20
xfg28r8qhjx	放紙鷂											1	2025-08-18 22:57:49	2025-05-16 16:54:20
xzjgdhsske3	放花											1	2025-08-18 22:57:49	2025-05-16 16:54:20
xkcydsv5gpk	放銃											1	2025-08-18 22:57:49	2025-05-16 16:54:20
xrtfm3cabrh	腹老											1	2025-08-18 22:57:49	2025-05-16 16:54:20
xdnnr8pan6q	腹			肚子，腹部，量詞，一脬尿，一脬屎	邊	春	4					1	2025-08-17 22:06:36	2025-05-16 16:54:20
x59wvaq9u2b	腹老筋											1	2025-08-18 22:57:49	2025-05-16 16:54:20
xgkkexj5dyj	腹老尾											1	2025-08-18 22:57:49	2025-05-16 16:54:20
x6adqrc9bbw	腹臍											1	2025-08-18 22:57:49	2025-05-16 16:54:20
xpcr632pxtg	腹老疼											1	2025-08-18 22:57:49	2025-05-16 16:54:20
xfynxvb67v2	腹痧											1	2025-08-18 22:57:49	2025-05-16 16:54:20
xha5c26d43j	腹肚											1	2025-08-18 22:57:49	2025-05-16 16:54:20
xxvbd236gvj	腹老下											1	2025-08-18 22:57:49	2025-05-16 16:54:20
xz7rvnc56w7	腹裏											1	2025-08-18 22:57:49	2025-05-16 16:54:20
x8673s452d5	腹老枵去											1	2025-08-18 22:57:49	2025-05-16 16:54:20
xhndtj9abq3	放錢債											1	2025-08-23 21:28:20	2025-05-16 16:54:20
xe3yxwh578a	腹老楻											1	2025-08-18 22:57:49	2025-05-16 16:54:20
xcgg9dac6k7	不負											1	2025-08-18 22:57:49	2025-05-16 16:54:20
xutdsevrf2y	福			祝福辭	邊	春	4				真的這麼說嗎，發音待確定	1	2025-08-17 22:06:36	2025-05-16 16:54:20
xt82jzpvx56	不			只出現在文辭中	邊	春	4					1	2025-08-17 22:06:36	2025-05-16 16:54:20
xvhp4227wqq	不*律*										應該與beo55 leoh5是同一個詞，正字待確定	1	2025-08-18 22:57:49	2025-05-16 16:54:20
x4kf5abxy5t	不*律*翼											1	2025-08-18 22:57:49	2025-05-16 16:54:20
x3kha6vtan3	不過											1	2025-08-18 22:57:49	2025-05-16 16:54:20
xw2expw35pj	不見天											1	2025-08-18 22:57:49	2025-05-16 16:54:20
xg6dhr9hub5	不興											1	2025-08-18 22:57:49	2025-05-16 16:54:20
xztjsrzhzqg	不遂											1	2025-08-18 22:57:49	2025-05-16 16:54:20
xsvkgygjbve	卜僮											1	2025-08-18 22:57:49	2025-05-16 16:54:20
xembmhnfag3	卜			見卜卦	邊	春	4					1	2025-08-17 22:06:36	2025-05-16 16:54:20
xtkf68x9n4e	房間											1	2025-08-18 22:57:49	2025-05-16 16:54:20
xyykvh7s2e3	䟔		少用文辭		邊	春	4					1	2025-08-17 22:06:36	2025-05-16 16:54:20
x8s9yp8e6uy	房裏											1	2025-08-18 22:57:49	2025-05-16 16:54:20
xrennzp9rsa	房桶											1	2025-08-18 22:57:49	2025-05-16 16:54:20
xdkca8p3axc	房下											1	2025-08-18 22:57:49	2025-05-16 16:54:20
x2pcff55m7s	房頭嫩											1	2025-08-23 21:30:10	2025-05-16 16:54:21
x3b5fneeza4	房裏奶											1	2025-08-18 22:57:49	2025-05-16 16:54:21
xy9u9htvy9k	縫扣門											1	2025-08-18 22:57:49	2025-05-16 16:54:21
xxty2g275tj	縫				邊	春	5					1	2025-08-17 22:06:36	2025-05-16 16:54:21
xzn5rncv4sv	㖹筒											1	2025-08-18 22:57:49	2025-05-16 16:54:21
